"","nowcast_date","week","clade","source","nseq"
"1",2025-02-12,2024-11-06,"24A","California COVIDNet",1
"2",2025-02-12,2024-11-06,"24A","NCBI",0
"3",2025-02-12,2024-11-06,"24B","California COVIDNet",1
"4",2025-02-12,2024-11-06,"24B","NCBI",1
"5",2025-02-12,2024-11-06,"24C","California COVIDNet",3
"6",2025-02-12,2024-11-06,"24C","NCBI",0
"7",2025-02-12,2024-11-06,"24D","California COVIDNet",0
"8",2025-02-12,2024-11-06,"24D","NCBI",0
"9",2025-02-12,2024-11-06,"24E","California COVIDNet",10
"10",2025-02-12,2024-11-06,"24E","NCBI",4
"11",2025-02-12,2024-11-06,"24F","California COVIDNet",10
"12",2025-02-12,2024-11-06,"24F","NCBI",4
"13",2025-02-12,2024-11-06,"24H","California COVIDNet",0
"14",2025-02-12,2024-11-06,"24H","NCBI",0
"15",2025-02-12,2024-11-06,"24I","California COVIDNet",0
"16",2025-02-12,2024-11-06,"24I","NCBI",0
"17",2025-02-12,2024-11-06,"25A","California COVIDNet",4
"18",2025-02-12,2024-11-06,"25A","NCBI",3
"19",2025-02-12,2024-11-06,"25B","California COVIDNet",0
"20",2025-02-12,2024-11-06,"25B","NCBI",0
"21",2025-02-12,2024-11-06,"25C","California COVIDNet",0
"22",2025-02-12,2024-11-06,"25C","NCBI",0
"23",2025-02-12,2024-11-06,"other","California COVIDNet",0
"24",2025-02-12,2024-11-06,"other","NCBI",0
"25",2025-02-12,2024-11-06,"recombinant","California COVIDNet",3
"26",2025-02-12,2024-11-06,"recombinant","NCBI",1
"27",2025-02-12,2024-11-13,"24A","California COVIDNet",16
"28",2025-02-12,2024-11-13,"24A","NCBI",6
"29",2025-02-12,2024-11-13,"24B","California COVIDNet",8
"30",2025-02-12,2024-11-13,"24B","NCBI",2
"31",2025-02-12,2024-11-13,"24C","California COVIDNet",6
"32",2025-02-12,2024-11-13,"24C","NCBI",2
"33",2025-02-12,2024-11-13,"24D","California COVIDNet",0
"34",2025-02-12,2024-11-13,"24D","NCBI",0
"35",2025-02-12,2024-11-13,"24E","California COVIDNet",115
"36",2025-02-12,2024-11-13,"24E","NCBI",52
"37",2025-02-12,2024-11-13,"24F","California COVIDNet",72
"38",2025-02-12,2024-11-13,"24F","NCBI",33
"39",2025-02-12,2024-11-13,"24H","California COVIDNet",5
"40",2025-02-12,2024-11-13,"24H","NCBI",1
"41",2025-02-12,2024-11-13,"24I","California COVIDNet",1
"42",2025-02-12,2024-11-13,"24I","NCBI",0
"43",2025-02-12,2024-11-13,"25A","California COVIDNet",16
"44",2025-02-12,2024-11-13,"25A","NCBI",13
"45",2025-02-12,2024-11-13,"25B","California COVIDNet",0
"46",2025-02-12,2024-11-13,"25B","NCBI",0
"47",2025-02-12,2024-11-13,"25C","California COVIDNet",0
"48",2025-02-12,2024-11-13,"25C","NCBI",0
